,Border,Date,Measure,Value,Average
3486,US-Canada Border,2008-02-01,Train Passengers,10630,12338.0
3485,US-Canada Border,2008-02-01,Truck Containers Full,399168,417160.0
3484,US-Mexico Border,2008-02-01,Personal Vehicle Passengers,12146198,13212035.0
3483,US-Mexico Border,2008-02-01,Trucks,410154,405779.0
3482,US-Canada Border,2008-02-01,Personal Vehicle Passengers,3604838,4371732.0
3481,US-Mexico Border,2008-02-01,Truck Containers Empty,148814,150495.0
3480,US-Mexico Border,2008-02-01,Bus Passengers,269605,293566.0
3479,US-Mexico Border,2008-01-01,Truck Containers Full,255390,247494.0
3478,US-Canada Border,2008-01-01,Buses,7959,10313.0
3477,US-Mexico Border,2008-01-01,Personal Vehicles,6613012,6704029.0
3476,US-Mexico Border,2008-01-01,Rail Containers Full,24097,28608.0
3475,US-Mexico Border,2008-01-01,Buses,22414,22485.0
3474,US-Mexico Border,2008-01-01,Trucks,412007,400085.0
3473,US-Canada Border,2008-01-01,Personal Vehicle Passengers,3853976,4677436.0
3472,US-Mexico Border,2008-01-01,Trains,832,887.0
3471,US-Canada Border,2008-01-01,Trucks,512845,517824.0
3470,US-Canada Border,2008-01-01,Train Passengers,11599,14876.0
3469,US-Canada Border,2008-01-01,Trains,2452,2548.0
3468,US-Canada Border,2008-01-01,Truck Containers Empty,93335,89166.0
3467,US-Mexico Border,2008-01-01,Rail Containers Empty,36014,37671.0
3466,US-Mexico Border,2008-01-01,Pedestrians,3876333,4187672.0
3465,US-Canada Border,2008-01-01,Rail Containers Empty,48289,49228.0
3464,US-Canada Border,2008-01-01,Truck Containers Full,416764,426382.0
3463,US-Canada Border,2008-01-01,Pedestrians,18055,25804.0
3462,US-Mexico Border,2008-01-01,Personal Vehicle Passengers,13020038,13352290.0
3461,US-Mexico Border,2008-01-01,Truck Containers Empty,150382,148705.0
3460,US-Mexico Border,2008-01-01,Train Passengers,1500,1659.0
3459,US-Mexico Border,2008-01-01,Bus Passengers,303108,292101.0
3458,US-Canada Border,2008-01-01,Personal Vehicles,2000216,2366664.0
3457,US-Canada Border,2008-01-01,Bus Passengers,225933,288665.0
3456,US-Canada Border,2008-01-01,Rail Containers Full,111471,118094.0
3455,US-Mexico Border,2007-12-01,Rail Containers Empty,35151,37842.0
3454,US-Mexico Border,2007-12-01,Truck Containers Empty,134428,151349.0
3453,US-Canada Border,2007-12-01,Truck Containers Full,351277,436614.0
3452,US-Canada Border,2007-12-01,Truck Containers Empty,80337,88112.0
3451,US-Mexico Border,2007-12-01,Rail Containers Full,26295,30451.0
3450,US-Mexico Border,2007-12-01,Truck Containers Full,224153,249593.0
3449,US-Mexico Border,2007-12-01,Trucks,359609,404210.0
3448,US-Mexico Border,2007-12-01,Buses,23760,22703.0
3447,US-Mexico Border,2007-12-01,Personal Vehicles,7072540,6723334.0
3446,US-Canada Border,2007-12-01,Trucks,434458,526269.0
3445,US-Canada Border,2007-12-01,Bus Passengers,254758,324306.0
3444,US-Mexico Border,2007-12-01,Bus Passengers,361001,293355.0
3443,US-Canada Border,2007-12-01,Personal Vehicles,2175942,2622704.0
3442,US-Canada Border,2007-12-01,Buses,8656,11752.0
3441,US-Canada Border,2007-12-01,Pedestrians,19993,42438.0
3440,US-Mexico Border,2007-12-01,Trains,858,902.0
3439,US-Canada Border,2007-12-01,Trains,2430,2569.0
3438,US-Mexico Border,2007-12-01,Personal Vehicle Passengers,14584120,13532196.0
3437,US-Canada Border,2007-12-01,Train Passengers,13765,19598.0
3436,US-Canada Border,2007-12-01,Personal Vehicle Passengers,4385658,5235536.0
3435,US-Mexico Border,2007-12-01,Pedestrians,4788991,4262245.0
3434,US-Canada Border,2007-12-01,Rail Containers Empty,45117,48829.0
3433,US-Mexico Border,2007-12-01,Train Passengers,1585,1708.0
3432,US-Canada Border,2007-12-01,Rail Containers Full,109266,119010.0
3431,US-Mexico Border,2007-11-01,Personal Vehicles,6626661,6657395.0
3430,US-Canada Border,2007-11-01,Bus Passengers,263206,351418.0
3429,US-Canada Border,2007-11-01,Personal Vehicle Passengers,4811091,5605847.0
3428,US-Mexico Border,2007-11-01,Rail Containers Empty,40163,37937.0
3427,US-Canada Border,2007-11-01,Train Passengers,11823,23963.0
3426,US-Mexico Border,2007-11-01,Bus Passengers,279751,294989.0
3425,US-Canada Border,2007-11-01,Buses,10450,12980.0
3424,US-Mexico Border,2007-11-01,Personal Vehicle Passengers,13111785,13424494.0
3423,US-Mexico Border,2007-11-01,Train Passengers,1699,1702.0
3422,US-Canada Border,2007-11-01,Personal Vehicles,2412399,2820759.0
3421,US-Canada Border,2007-11-01,Truck Containers Empty,95740,87688.0
3420,US-Canada Border,2007-11-01,Trucks,527722,541539.0
3419,US-Mexico Border,2007-11-01,Trains,904,899.0
3418,US-Mexico Border,2007-11-01,Buses,22631,22603.0
3417,US-Canada Border,2007-11-01,Rail Containers Empty,52079,48646.0
3416,US-Canada Border,2007-11-01,Trains,2650,2580.0
3415,US-Canada Border,2007-11-01,Truck Containers Full,432003,450871.0
3414,US-Canada Border,2007-11-01,Pedestrians,10188,51217.0
3413,US-Mexico Border,2007-11-01,Truck Containers Empty,153446,154405.0
3412,US-Mexico Border,2007-11-01,Truck Containers Full,255674,256012.0
3411,US-Mexico Border,2007-11-01,Pedestrians,4226540,4203425.0
3410,US-Mexico Border,2007-11-01,Rail Containers Full,29729,31145.0
3409,US-Canada Border,2007-11-01,Rail Containers Full,123014,118430.0
3408,US-Mexico Border,2007-11-01,Trucks,411913,412259.0
3407,US-Mexico Border,2007-10-01,Train Passengers,1783,1673.0
3406,US-Canada Border,2007-10-01,Personal Vehicle Passengers,5203099,5718838.0
3405,US-Canada Border,2007-10-01,Rail Containers Empty,53937,47427.0
3404,US-Canada Border,2007-10-01,Pedestrians,25778,57296.0
3403,US-Mexico Border,2007-10-01,Personal Vehicles,6757768,6648660.0
3402,US-Canada Border,2007-10-01,Bus Passengers,344879,375113.0
3401,US-Mexico Border,2007-10-01,Pedestrians,4113341,4224439.0
3400,US-Mexico Border,2007-10-01,Trucks,435214,412801.0
3399,US-Mexico Border,2007-10-01,Truck Containers Full,268483,259169.0
3398,US-Canada Border,2007-10-01,Train Passengers,13875,28448.0
3397,US-Mexico Border,2007-10-01,Bus Passengers,254367,297904.0
3396,US-Mexico Border,2007-10-01,Rail Containers Empty,39582,36976.0
3395,US-Mexico Border,2007-10-01,Personal Vehicle Passengers,13198036,13418773.0
3394,US-Canada Border,2007-10-01,Truck Containers Full,486590,456837.0
3393,US-Mexico Border,2007-10-01,Truck Containers Empty,165404,152127.0
3392,US-Canada Border,2007-10-01,Personal Vehicles,2614080,2879245.0
3391,US-Canada Border,2007-10-01,Trains,2750,2543.0
3390,US-Canada Border,2007-10-01,Trucks,582390,546209.0
3389,US-Mexico Border,2007-10-01,Rail Containers Full,30694,31875.0
3388,US-Mexico Border,2007-10-01,Buses,22531,22472.0
3387,US-Mexico Border,2007-10-01,Trains,944,891.0
3386,US-Canada Border,2007-10-01,Truck Containers Empty,93755,84991.0
3385,US-Canada Border,2007-10-01,Buses,11469,13710.0
3384,US-Canada Border,2007-10-01,Rail Containers Full,125692,116295.0
3383,US-Mexico Border,2007-09-01,Trains,899,889.0
3382,US-Mexico Border,2007-09-01,Bus Passengers,262279,297155.0
3381,US-Canada Border,2007-09-01,Truck Containers Empty,82665,82539.0
3380,US-Mexico Border,2007-09-01,Train Passengers,1726,1672.0
3379,US-Canada Border,2007-09-01,Trains,2460,2535.0
3378,US-Mexico Border,2007-09-01,Rail Containers Full,32225,32630.0
3377,US-Mexico Border,2007-09-01,Truck Containers Empty,139864,151437.0
3376,US-Mexico Border,2007-09-01,Trucks,381680,413610.0
3375,US-Mexico Border,2007-09-01,Rail Containers Empty,37443,36695.0
3374,US-Canada Border,2007-09-01,Trucks,531706,548323.0
3373,US-Canada Border,2007-09-01,Personal Vehicle Passengers,5133356,5741563.0
3372,US-Canada Border,2007-09-01,Personal Vehicles,2630684,2853858.0
3371,US-Canada Border,2007-09-01,Truck Containers Full,445275,456199.0
3370,US-Canada Border,2007-09-01,Pedestrians,55005,61115.0
3369,US-Mexico Border,2007-09-01,Personal Vehicle Passengers,12847473,13658334.0
3368,US-Mexico Border,2007-09-01,Personal Vehicles,6450165,6725222.0
3367,US-Canada Border,2007-09-01,Rail Containers Empty,46717,46139.0
3366,US-Canada Border,2007-09-01,Bus Passengers,354549,384882.0
3365,US-Canada Border,2007-09-01,Train Passengers,23320,30545.0
3364,US-Mexico Border,2007-09-01,Truck Containers Full,233770,260125.0
3363,US-Mexico Border,2007-09-01,Pedestrians,3933156,4204455.0
3362,US-Canada Border,2007-09-01,Buses,13033,14176.0
3361,US-Mexico Border,2007-09-01,Buses,21091,22221.0
3360,US-Canada Border,2007-09-01,Rail Containers Full,121028,113941.0
3359,US-Canada Border,2007-08-01,Personal Vehicles,3280417,2767367.0
3358,US-Mexico Border,2007-08-01,Personal Vehicle Passengers,13919567,13908994.0
3357,US-Canada Border,2007-08-01,Bus Passengers,404137,370150.0
3356,US-Canada Border,2007-08-01,Truck Containers Empty,88062,81024.0
3355,US-Canada Border,2007-08-01,Rail Containers Full,116050,113159.0
3354,US-Mexico Border,2007-08-01,Train Passengers,1749,1695.0
3353,US-Canada Border,2007-08-01,Trains,2553,2565.0
3352,US-Canada Border,2007-08-01,Pedestrians,101226,55383.0
3351,US-Canada Border,2007-08-01,Train Passengers,35206,28452.0
3350,US-Mexico Border,2007-08-01,Rail Containers Full,33310,32254.0
3349,US-Canada Border,2007-08-01,Buses,15151,13609.0
3348,US-Mexico Border,2007-08-01,Personal Vehicles,6709535,6820381.0
3347,US-Mexico Border,2007-08-01,Trucks,432633,417398.0
3346,US-Mexico Border,2007-08-01,Rail Containers Empty,36873,37121.0
3345,US-Mexico Border,2007-08-01,Buses,23503,22418.0
3344,US-Mexico Border,2007-08-01,Trains,903,891.0
3343,US-Canada Border,2007-08-01,Trucks,555071,552498.0
3342,US-Canada Border,2007-08-01,Personal Vehicle Passengers,6644476,5560513.0
3341,US-Mexico Border,2007-08-01,Bus Passengers,309378,298897.0
3340,US-Canada Border,2007-08-01,Rail Containers Empty,46296,46411.0
3339,US-Mexico Border,2007-08-01,Pedestrians,4249198,4164978.0
3338,US-Canada Border,2007-08-01,Truck Containers Full,467924,458891.0
3337,US-Mexico Border,2007-08-01,Truck Containers Empty,163601,152550.0
3336,US-Mexico Border,2007-08-01,Truck Containers Full,265884,264941.0
3335,US-Canada Border,2007-07-01,Pedestrians,63886,39932.0
3334,US-Mexico Border,2007-07-01,Personal Vehicle Passengers,14045607,14059026.0
3333,US-Canada Border,2007-07-01,Rail Containers Full,106367,115165.0
3332,US-Canada Border,2007-07-01,Truck Containers Full,422561,462396.0
3331,US-Canada Border,2007-07-01,Personal Vehicles,3166217,2557232.0
3330,US-Mexico Border,2007-07-01,Truck Containers Full,256250,267433.0
3329,US-Canada Border,2007-07-01,Rail Containers Empty,44201,46373.0
3328,US-Canada Border,2007-07-01,Buses,14796,12364.0
3327,US-Canada Border,2007-07-01,Personal Vehicle Passengers,6237211,5089160.0
3326,US-Mexico Border,2007-07-01,Personal Vehicles,6742846,6934950.0
3325,US-Mexico Border,2007-07-01,Bus Passengers,369172,291464.0
3324,US-Mexico Border,2007-07-01,Pedestrians,4494891,4141765.0
3323,US-Canada Border,2007-07-01,Trucks,510805,558950.0
3322,US-Mexico Border,2007-07-01,Trains,845,900.0
3321,US-Canada Border,2007-07-01,Train Passengers,35591,23433.0
3320,US-Mexico Border,2007-07-01,Rail Containers Empty,35623,37498.0
3319,US-Mexico Border,2007-07-01,Buses,23258,22093.0
3318,US-Canada Border,2007-07-01,Trains,2485,2578.0
3317,US-Canada Border,2007-07-01,Truck Containers Empty,78219,81155.0
3316,US-Canada Border,2007-07-01,Bus Passengers,390318,335400.0
3315,US-Mexico Border,2007-07-01,Truck Containers Empty,149709,149953.0
3314,US-Mexico Border,2007-07-01,Trucks,399854,418440.0
3313,US-Mexico Border,2007-07-01,Rail Containers Full,29769,32056.0
3312,US-Mexico Border,2007-07-01,Train Passengers,1554,1709.0
3311,US-Mexico Border,2007-06-01,Personal Vehicles,6582985,6881719.0
3310,US-Mexico Border,2007-06-01,Buses,21977,21363.0
3309,US-Mexico Border,2007-06-01,Train Passengers,1553,1732.0
3308,US-Canada Border,2007-06-01,Personal Vehicles,2704826,2284861.0
3307,US-Mexico Border,2007-06-01,Truck Containers Full,271460,265146.0
3306,US-Mexico Border,2007-06-01,Personal Vehicle Passengers,13083182,13794425.0
3305,US-Mexico Border,2007-06-01,Trucks,414625,414234.0
3304,US-Canada Border,2007-06-01,Buses,14099,10912.0
3303,US-Canada Border,2007-06-01,Truck Containers Full,461833,463893.0
3302,US-Mexico Border,2007-06-01,Bus Passengers,294326,259526.0
3301,US-Canada Border,2007-06-01,Bus Passengers,381684,295697.0
3300,US-Canada Border,2007-06-01,Personal Vehicle Passengers,5376049,4525986.0
3299,US-Canada Border,2007-06-01,Rail Containers Empty,45985,44792.0
3298,US-Mexico Border,2007-06-01,Rail Containers Empty,35358,37311.0
3297,US-Canada Border,2007-06-01,Trains,2469,2511.0
3296,US-Canada Border,2007-06-01,Rail Containers Full,112337,113704.0
3295,US-Mexico Border,2007-06-01,Rail Containers Full,33376,31798.0
3294,US-Canada Border,2007-06-01,Pedestrians,40587,29489.0
3293,US-Canada Border,2007-06-01,Truck Containers Empty,82256,81116.0
3292,US-Mexico Border,2007-06-01,Truck Containers Empty,142058,147766.0
3291,US-Mexico Border,2007-06-01,Pedestrians,4331611,3991285.0
3290,US-Canada Border,2007-06-01,Trucks,551073,559783.0
3289,US-Canada Border,2007-06-01,Train Passengers,34247,18173.0
3288,US-Mexico Border,2007-06-01,Trains,863,892.0
3287,US-Canada Border,2007-05-01,Truck Containers Empty,81495,80538.0
3286,US-Mexico Border,2007-05-01,Truck Containers Full,273262,258000.0
3285,US-Mexico Border,2007-05-01,Personal Vehicle Passengers,14395843,13948898.0
3284,US-Canada Border,2007-05-01,Rail Containers Full,113921,113826.0
3283,US-Mexico Border,2007-05-01,Buses,21278,21282.0
3282,US-Mexico Border,2007-05-01,Bus Passengers,250618,251756.0
3281,US-Mexico Border,2007-05-01,Pedestrians,4013418,3880247.0
3280,US-Mexico Border,2007-05-01,Rail Containers Full,34472,30008.0
3279,US-Canada Border,2007-05-01,Pedestrians,44870,24429.0
3278,US-Mexico Border,2007-05-01,Trucks,439258,409394.0
3277,US-Canada Border,2007-05-01,Personal Vehicle Passengers,5316722,4123615.0
3276,US-Canada Border,2007-05-01,Truck Containers Full,483402,458913.0
3275,US-Canada Border,2007-05-01,Rail Containers Empty,47495,44532.0
3274,US-Mexico Border,2007-05-01,Rail Containers Empty,38180,37576.0
3273,US-Mexico Border,2007-05-01,Truck Containers Empty,161952,147750.0
3272,US-Mexico Border,2007-05-01,Trains,934,886.0
3271,US-Canada Border,2007-05-01,Train Passengers,24359,13049.0
3270,US-Mexico Border,2007-05-01,Personal Vehicles,7140581,6969147.0
3269,US-Mexico Border,2007-05-01,Train Passengers,1778,1767.0
3268,US-Canada Border,2007-05-01,Trucks,592961,556907.0
3267,US-Canada Border,2007-05-01,Buses,13803,9755.0
3266,US-Canada Border,2007-05-01,Trains,2708,2513.0
3265,US-Canada Border,2007-05-01,Bus Passengers,393720,258220.0
3264,US-Canada Border,2007-05-01,Personal Vehicles,2487147,2158230.0
3263,US-Mexico Border,2007-04-01,Bus Passengers,270990,264331.0
3262,US-Mexico Border,2007-04-01,Personal Vehicles,6925956,7032037.0
3261,US-Canada Border,2007-04-01,Train Passengers,12859,10927.0
3260,US-Canada Border,2007-04-01,Rail Containers Full,117121,113118.0
3259,US-Canada Border,2007-04-01,Rail Containers Empty,48078,43066.0
3258,US-Mexico Border,2007-04-01,Truck Containers Full,257851,247450.0
3257,US-Canada Border,2007-04-01,Bus Passengers,280889,223792.0
3256,US-Mexico Border,2007-04-01,Train Passengers,1841,1739.0
3255,US-Canada Border,2007-04-01,Truck Containers Full,458733,439549.0
3254,US-Mexico Border,2007-04-01,Pedestrians,3735771,4010416.0
3253,US-Canada Border,2007-04-01,Buses,10197,8683.0
3252,US-Mexico Border,2007-04-01,Rail Containers Full,30342,29339.0
3251,US-Canada Border,2007-04-01,Trucks,552580,532420.0
3250,US-Canada Border,2007-04-01,Personal Vehicle Passengers,4228109,3945801.0
3249,US-Mexico Border,2007-04-01,Rail Containers Empty,39570,37225.0
3248,US-Canada Border,2007-04-01,Personal Vehicles,2198229,2109780.0
3247,US-Mexico Border,2007-04-01,Trains,909,869.0
3246,US-Mexico Border,2007-04-01,Trucks,400621,392900.0
3245,US-Canada Border,2007-04-01,Trains,2611,2536.0
3244,US-Mexico Border,2007-04-01,Personal Vehicle Passengers,14100769,14232765.0
3243,US-Canada Border,2007-04-01,Truck Containers Empty,75089,78552.0
3242,US-Mexico Border,2007-04-01,Buses,22074,21942.0
3241,US-Canada Border,2007-04-01,Pedestrians,26345,19988.0
3240,US-Mexico Border,2007-04-01,Truck Containers Empty,145431,142595.0
3239,US-Canada Border,2007-03-01,Trains,2619,2561.0
3238,US-Mexico Border,2007-03-01,Trucks,437841,386963.0
3237,US-Mexico Border,2007-03-01,Rail Containers Empty,38760,36872.0
3236,US-Canada Border,2007-03-01,Bus Passengers,230391,218787.0
3235,US-Canada Border,2007-03-01,Rail Containers Empty,46108,42254.0
3234,US-Mexico Border,2007-03-01,Rail Containers Full,32320,29774.0
3233,US-Mexico Border,2007-03-01,Truck Containers Empty,150614,143150.0
3232,US-Canada Border,2007-03-01,Truck Containers Full,485451,439245.0
3231,US-Canada Border,2007-03-01,Trucks,587330,530770.0
3230,US-Canada Border,2007-03-01,Personal Vehicles,2229742,2103221.0
3229,US-Mexico Border,2007-03-01,Pedestrians,4133135,4113537.0
3228,US-Canada Border,2007-03-01,Train Passengers,10109,10547.0
3227,US-Mexico Border,2007-03-01,Truck Containers Full,278342,243838.0
3226,US-Canada Border,2007-03-01,Rail Containers Full,126081,112273.0
3225,US-Mexico Border,2007-03-01,Bus Passengers,272215,259547.0
3224,US-Mexico Border,2007-03-01,Personal Vehicle Passengers,14669731,14473622.0
3223,US-Canada Border,2007-03-01,Pedestrians,23973,20064.0
3222,US-Canada Border,2007-03-01,Buses,8927,8580.0
3221,US-Mexico Border,2007-03-01,Trains,951,856.0
3220,US-Mexico Border,2007-03-01,Personal Vehicles,7282381,7150636.0
3219,US-Mexico Border,2007-03-01,Train Passengers,1817,1633.0
3218,US-Canada Border,2007-03-01,Personal Vehicle Passengers,4287711,3966199.0
3217,US-Mexico Border,2007-03-01,Buses,21880,22496.0
3216,US-Canada Border,2007-03-01,Truck Containers Empty,88717,79806.0
3215,US-Mexico Border,2007-02-01,Pedestrians,3742490,4095156.0
3214,US-Mexico Border,2007-02-01,Trains,804,856.0
3213,US-Canada Border,2007-02-01,Personal Vehicle Passengers,3421337,4059060.0
3212,US-Canada Border,2007-02-01,Trucks,514972,528664.0
3211,US-Canada Border,2007-02-01,Bus Passengers,191802,267790.0
3210,US-Mexico Border,2007-02-01,Personal Vehicle Passengers,12722598,14305421.0
3209,US-Mexico Border,2007-02-01,Rail Containers Full,28480,30026.0
3208,US-Canada Border,2007-02-01,Truck Containers Empty,78024,79115.0
3207,US-Mexico Border,2007-02-01,Personal Vehicles,6476693,7127791.0
3206,US-Mexico Border,2007-02-01,Trucks,378824,382486.0
3205,US-Canada Border,2007-02-01,Train Passengers,9292,11262.0
3204,US-Mexico Border,2007-02-01,Buses,19608,22484.0
3203,US-Canada Border,2007-02-01,Trains,2146,2585.0
3202,US-Canada Border,2007-02-01,Rail Containers Full,99058,110395.0
3201,US-Canada Border,2007-02-01,Truck Containers Full,430045,438554.0
3200,US-Mexico Border,2007-02-01,Train Passengers,1670,1683.0
3199,US-Canada Border,2007-02-01,Pedestrians,11668,26817.0
3198,US-Mexico Border,2007-02-01,Truck Containers Empty,138774,144964.0
3197,US-Canada Border,2007-02-01,Personal Vehicles,1804361,2136223.0
3196,US-Mexico Border,2007-02-01,Truck Containers Full,244817,238237.0
3195,US-Mexico Border,2007-02-01,Bus Passengers,209480,256233.0
3194,US-Canada Border,2007-02-01,Rail Containers Empty,36296,42291.0
3193,US-Mexico Border,2007-02-01,Rail Containers Empty,34688,36912.0
3192,US-Canada Border,2007-02-01,Buses,7536,9132.0
3191,US-Mexico Border,2007-01-01,Personal Vehicle Passengers,13855551,14475206.0
3190,US-Canada Border,2007-01-01,Train Passengers,8624,14146.0
3189,US-Mexico Border,2007-01-01,Rail Containers Empty,36684,37238.0
3188,US-Canada Border,2007-01-01,Trucks,536693,534107.0
3187,US-Canada Border,2007-01-01,Rail Containers Full,112951,112303.0
3186,US-Canada Border,2007-01-01,Bus Passengers,194298,282708.0
3185,US-Mexico Border,2007-01-01,Personal Vehicles,7020124,7194739.0
3184,US-Canada Border,2007-01-01,Pedestrians,15290,35120.0
3183,US-Canada Border,2007-01-01,Truck Containers Full,436935,443116.0
3182,US-Mexico Border,2007-01-01,Truck Containers Full,235729,238619.0
3181,US-Mexico Border,2007-01-01,Rail Containers Full,24424,31022.0
3180,US-Mexico Border,2007-01-01,Pedestrians,3776421,4100778.0
3179,US-Mexico Border,2007-01-01,Bus Passengers,255478,258738.0
3178,US-Canada Border,2007-01-01,Personal Vehicle Passengers,3364197,4488384.0
3177,US-Canada Border,2007-01-01,Personal Vehicles,2071670,2310568.0
3176,US-Mexico Border,2007-01-01,Buses,21571,22700.0
3175,US-Canada Border,2007-01-01,Truck Containers Empty,79364,80009.0
3174,US-Mexico Border,2007-01-01,Trucks,390428,383411.0
3173,US-Canada Border,2007-01-01,Buses,8313,9757.0
3172,US-Canada Border,2007-01-01,Rail Containers Empty,44681,43672.0
3171,US-Mexico Border,2007-01-01,Trains,834,867.0
3170,US-Canada Border,2007-01-01,Trains,2481,2672.0
3169,US-Mexico Border,2007-01-01,Truck Containers Empty,141980,144479.0
3168,US-Mexico Border,2007-01-01,Train Passengers,1727,1717.0
3167,US-Canada Border,2006-12-01,Train Passengers,13751,20228.0
3166,US-Canada Border,2006-12-01,Rail Containers Empty,40165,43486.0
3165,US-Canada Border,2006-12-01,Personal Vehicles,2244897,2533067.0
3164,US-Mexico Border,2006-12-01,Pedestrians,4664264,4113476.0
3163,US-Canada Border,2006-12-01,Trains,2822,2723.0
3162,US-Mexico Border,2006-12-01,Personal Vehicles,7455033,7241702.0
3161,US-Mexico Border,2006-12-01,Rail Containers Full,31129,32539.0
3160,US-Canada Border,2006-12-01,Rail Containers Full,110378,113171.0
3159,US-Mexico Border,2006-12-01,Train Passengers,1641,1727.0
3158,US-Mexico Border,2006-12-01,Buses,24575,22812.0
3157,US-Mexico Border,2006-12-01,Rail Containers Empty,36424,36525.0
3156,US-Mexico Border,2006-12-01,Bus Passengers,313493,261977.0
3155,US-Canada Border,2006-12-01,Truck Containers Full,386579,454896.0
3154,US-Mexico Border,2006-12-01,Truck Containers Empty,136176,147676.0
3153,US-Canada Border,2006-12-01,Bus Passengers,221580,304207.0
3152,US-Mexico Border,2006-12-01,Personal Vehicle Passengers,15815174,14679455.0
3151,US-Canada Border,2006-12-01,Personal Vehicle Passengers,4427650,5253484.0
3150,US-Canada Border,2006-12-01,Buses,8443,10507.0
3149,US-Canada Border,2006-12-01,Trucks,470527,545589.0
3148,US-Canada Border,2006-12-01,Truck Containers Empty,71567,82495.0
3147,US-Mexico Border,2006-12-01,Trucks,356786,389993.0
3146,US-Mexico Border,2006-12-01,Truck Containers Full,220509,244210.0
3145,US-Canada Border,2006-12-01,Pedestrians,22663,53198.0
3144,US-Mexico Border,2006-12-01,Trains,847,871.0
3143,US-Canada Border,2006-11-01,Personal Vehicles,2165435,2739760.0
3142,US-Canada Border,2006-11-01,Buses,9683,11801.0
3141,US-Canada Border,2006-11-01,Rail Containers Full,112898,112489.0
3140,US-Mexico Border,2006-11-01,Personal Vehicle Passengers,15305057,14605828.0
3139,US-Mexico Border,2006-11-01,Trucks,370937,395454.0
3138,US-Mexico Border,2006-11-01,Pedestrians,4251373,3952412.0
3137,US-Mexico Border,2006-11-01,Bus Passengers,247070,265926.0
3136,US-Mexico Border,2006-11-01,Buses,24846,22549.0
3135,US-Canada Border,2006-11-01,Rail Containers Empty,44020,43936.0
3134,US-Canada Border,2006-11-01,Trains,2739,2678.0
3133,US-Mexico Border,2006-11-01,Trains,842,865.0
3132,US-Canada Border,2006-11-01,Truck Containers Full,457215,461705.0
3131,US-Mexico Border,2006-11-01,Train Passengers,1310,1755.0
3130,US-Canada Border,2006-11-01,Pedestrians,26728,68597.0
3129,US-Canada Border,2006-11-01,Personal Vehicle Passengers,4330100,5860731.0
3128,US-Mexico Border,2006-11-01,Rail Containers Full,32515,32020.0
3127,US-Canada Border,2006-11-01,Train Passengers,10958,25132.0
3126,US-Canada Border,2006-11-01,Truck Containers Empty,81356,83718.0
3125,US-Mexico Border,2006-11-01,Truck Containers Empty,148205,148137.0
3124,US-Canada Border,2006-11-01,Trucks,544329,553413.0
3123,US-Canada Border,2006-11-01,Bus Passengers,255862,336240.0
3122,US-Mexico Border,2006-11-01,Personal Vehicles,7518950,7209334.0
3121,US-Mexico Border,2006-11-01,Truck Containers Full,239793,247507.0
3120,US-Mexico Border,2006-11-01,Rail Containers Empty,37803,35711.0
3119,US-Mexico Border,2006-10-01,Bus Passengers,255646,266152.0
3118,US-Mexico Border,2006-10-01,Personal Vehicle Passengers,13828727,14415111.0
3117,US-Mexico Border,2006-10-01,Train Passengers,2067,1883.0
3116,US-Canada Border,2006-10-01,Truck Containers Empty,85264,85362.0
3115,US-Canada Border,2006-10-01,Train Passengers,13687,29626.0
3114,US-Canada Border,2006-10-01,Personal Vehicles,2394754,2850781.0
3113,US-Canada Border,2006-10-01,Rail Containers Full,116689,113614.0
3112,US-Canada Border,2006-10-01,Rail Containers Empty,46293,43888.0
3111,US-Mexico Border,2006-10-01,Truck Containers Empty,159687,146878.0
3110,US-Mexico Border,2006-10-01,Trucks,415454,404713.0
3109,US-Mexico Border,2006-10-01,Truck Containers Full,250335,252451.0
3108,US-Mexico Border,2006-10-01,Trains,954,871.0
3107,US-Canada Border,2006-10-01,Truck Containers Full,481998,467968.0
3106,US-Canada Border,2006-10-01,Personal Vehicle Passengers,4752015,6146631.0
3105,US-Canada Border,2006-10-01,Bus Passengers,475409,341874.0
3104,US-Canada Border,2006-10-01,Trucks,576799,561116.0
3103,US-Canada Border,2006-10-01,Pedestrians,57738,70086.0
3102,US-Mexico Border,2006-10-01,Personal Vehicles,7168153,7141020.0
3101,US-Mexico Border,2006-10-01,Rail Containers Full,33581,32164.0
3100,US-Canada Border,2006-10-01,Buses,11684,12149.0
3099,US-Canada Border,2006-10-01,Trains,2737,2681.0
3098,US-Mexico Border,2006-10-01,Buses,21822,21806.0
3097,US-Mexico Border,2006-10-01,Pedestrians,4041234,3824940.0
3096,US-Mexico Border,2006-10-01,Rail Containers Empty,38962,35074.0
3095,US-Mexico Border,2006-09-01,Rail Containers Empty,36318,34305.0
3094,US-Mexico Border,2006-09-01,Rail Containers Full,33461,32382.0
3093,US-Mexico Border,2006-09-01,Truck Containers Empty,136347,142615.0
3092,US-Mexico Border,2006-09-01,Buses,20686,21602.0
3091,US-Canada Border,2006-09-01,Rail Containers Full,108601,114302.0
3090,US-Canada Border,2006-09-01,Train Passengers,23712,31625.0
3089,US-Canada Border,2006-09-01,Trains,2583,2696.0
3088,US-Canada Border,2006-09-01,Rail Containers Empty,43203,43153.0
3087,US-Mexico Border,2006-09-01,Trucks,383450,405830.0
3086,US-Mexico Border,2006-09-01,Truck Containers Full,246727,259125.0
3085,US-Mexico Border,2006-09-01,Trains,860,859.0
